Library	Sample
N1b	103.R1.fastq.gz
N1b	206.R1.fastq.gz
N1b	102.R2.fastq.gz
N1b	207.R2.fastq.gz
N1b	203.R1.fastq.gz
N1b	1EB.R2.fastq.gz
N1b	106.R1.fastq.gz
N1b	202.R2.fastq.gz
N1b	107.R2.fastq.gz
N1b	1NE.R1.fastq.gz
N1b	208.R2.fastq.gz
N1b	110.R1.fastq.gz
N1b	209.R1.fastq.gz
N1b	104.R2.fastq.gz
N1b	201.R2.fastq.gz
N1b	1FB.R1.fastq.gz
N1b	105.R1.fastq.gz
N1b	204.R2.fastq.gz
N1b	1PO.R1.fastq.gz
N1b	101.R2.fastq.gz
N1b	205.R1.fastq.gz
N1b	210.R1.fastq.gz
N1b	108.R2.fastq.gz
N1b	109.R1.fastq.gz
N1b	1NE.R2.fastq.gz
N1b	203.R2.fastq.gz
N1b	1EB.R1.fastq.gz
N1b	106.R2.fastq.gz
N1b	202.R1.fastq.gz
N1b	107.R1.fastq.gz
N1b	103.R2.fastq.gz
N1b	206.R2.fastq.gz
N1b	102.R1.fastq.gz
N1b	207.R1.fastq.gz
N1b	108.R1.fastq.gz
N1b	210.R2.fastq.gz
N1b	109.R2.fastq.gz
N1b	204.R1.fastq.gz
N1b	1PO.R2.fastq.gz
N1b	101.R1.fastq.gz
N1b	205.R2.fastq.gz
N1b	104.R1.fastq.gz
N1b	201.R1.fastq.gz
N1b	1FB.R2.fastq.gz
N1b	105.R2.fastq.gz
N1b	110.R2.fastq.gz
N1b	208.R1.fastq.gz
N1b	209.R2.fastq.gz
N1	103.R1.fastq.gz
N1	206.R1.fastq.gz
N1	102.R2.fastq.gz
N1	207.R2.fastq.gz
N1	203.R1.fastq.gz
N1	1EB.R2.fastq.gz
N1	106.R1.fastq.gz
N1	202.R2.fastq.gz
N1	107.R2.fastq.gz
N1	1NE.R1.fastq.gz
N1	208.R2.fastq.gz
N1	110.R1.fastq.gz
N1	209.R1.fastq.gz
N1	104.R2.fastq.gz
N1	201.R2.fastq.gz
N1	1FB.R1.fastq.gz
N1	105.R1.fastq.gz
N1	204.R2.fastq.gz
N1	1PO.R1.fastq.gz
N1	101.R2.fastq.gz
N1	205.R1.fastq.gz
N1	210.R1.fastq.gz
N1	108.R2.fastq.gz
N1	109.R1.fastq.gz
N1	1NE.R2.fastq.gz
N1	203.R2.fastq.gz
N1	1EB.R1.fastq.gz
N1	106.R2.fastq.gz
N1	202.R1.fastq.gz
N1	107.R1.fastq.gz
N1	103.R2.fastq.gz
N1	206.R2.fastq.gz
N1	102.R1.fastq.gz
N1	207.R1.fastq.gz
N1	108.R1.fastq.gz
N1	210.R2.fastq.gz
N1	109.R2.fastq.gz
N1	204.R1.fastq.gz
N1	1PO.R2.fastq.gz
N1	101.R1.fastq.gz
N1	205.R2.fastq.gz
N1	104.R1.fastq.gz
N1	201.R1.fastq.gz
N1	1FB.R2.fastq.gz
N1	105.R2.fastq.gz
N1	110.R2.fastq.gz
N1	208.R1.fastq.gz
N1	209.R2.fastq.gz
EA01	BLEL01.R2.fastq.gz
EA01	BLEL01.R1.fastq.gz
